id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern,sequence_progress_hold,RepeatCount,question_ja,question_en,question_cn,choice_yes_ja,choice_yes_en,choice_yes_cn,choice_no_ja,choice_no_en,choice_no_cn,yes_next_pattern,no_next_pattern,random_repeat_limit,timed_event_key,target_pattern,speaker
TEACH_CONFIRM_CAT_EXPRESSION,,,,,ん？猫に関する言葉を教えてくれるの？,,,,,TEACH_CONFIRM_CAT_EXPRESSION,1,Choice,TeachingMode:Confirm:CatExpression,,Random,,0,0,false,,100,false,,,false,0,,,,はい,,,いいえ,,,,,,,,Cat
TEACH_CONFIRM_FELIDAE,,,,,ん？猫の仲間を教えてくれるの？,,,,,TEACH_CONFIRM_FELIDAE,1,Choice,TeachingMode:Confirm:Felidae,,Random,,0,0,false,,100,false,,,false,0,,,,はい,,,いいえ,,,,,,,,Cat
TEACH_CONFIRM_CAT_BREED,,,,,ん？猫の品種を教えてくれるの？,,,,,TEACH_CONFIRM_CAT_BREED,1,Choice,TeachingMode:Confirm:CatBreed,,Random,,0,0,false,,100,false,,,false,0,,,,はい,,,いいえ,,,,,,,,Cat
TEACH_CONFIRM_CAT_SERIES,,,,,ん？猫の出てくる物語を教えてくれるの？,,,,,TEACH_CONFIRM_CAT_SERIES,1,Choice,TeachingMode:Confirm:CatSeries,,Random,,0,0,false,,100,false,,,false,0,,,,はい,,,いいえ,,,,,,,,Cat
TEACH_CONFIRM_FAVORITE_WEATHER,,,,,ん？{{PLAYER_CALLING}}の好きな天気を教えてくれるの？,,,,,TEACH_CONFIRM_FAVORITE_WEATHER,1,Choice,TeachingMode:Confirm:FavoriteWeather,,Random,,0,0,false,,100,false,,,false,0,,,,はい,,,いいえ,,,,,,,,Cat
TEACH_CONFIRM_FAVORITE_POINT,,,,,ん？{{CAT_PRONOUN}}のどこが好きかって話かな？,,,,,TEACH_CONFIRM_FAVORITE_POINT,1,Choice,TeachingMode:Confirm:FavoritePoint,,Random,,0,0,false,,100,false,,,false,0,,,,はい,,,いいえ,,,,,,,,Cat
TEACH_OUT_OF_CATEGORY_CONFIRM_CAT_EXPRESSION,,,,,{word}って猫に関する言葉？,,,,,TEACH_OUT_OF_CATEGORY_CONFIRM_CAT_EXPRESSION,1,Choice,TeachingMode:OutOfCategoryConfirm,,Random,,0,0,false,,100,false,,,false,0,,,,そうだよ,,,別の話,,,,,,,,Cat
TEACH_OUT_OF_CATEGORY_CONFIRM_FELIDAE,,,,,{word}ってネコ科の仲間の話？,,,,,TEACH_OUT_OF_CATEGORY_CONFIRM_FELIDAE,1,Choice,TeachingMode:OutOfCategoryConfirm,,Random,,0,0,false,,100,false,,,false,0,,,,そうだよ,,,別の話,,,,,,,,Cat
TEACH_OUT_OF_CATEGORY_CONFIRM_CAT_BREED,,,,,{word}って猫の品種？,,,,,TEACH_OUT_OF_CATEGORY_CONFIRM_CAT_BREED,1,Choice,TeachingMode:OutOfCategoryConfirm,,Random,,0,0,false,,100,false,,,false,0,,,,そうだよ,,,別の話,,,,,,,,Cat
TEACH_OUT_OF_CATEGORY_CONFIRM_CAT_SERIES,,,,,{word}って猫の出てくる物語の話？,,,,,TEACH_OUT_OF_CATEGORY_CONFIRM_CAT_SERIES,1,Choice,TeachingMode:OutOfCategoryConfirm,,Random,,0,0,false,,100,false,,,false,0,,,,そうだよ,,,別の話,,,,,,,,Cat
TEACH_OUT_OF_CATEGORY_CONFIRM_FAVORITE_WEATHER,,,,,{word}っていう天気の話？,,,,,TEACH_OUT_OF_CATEGORY_CONFIRM_FAVORITE_WEATHER,1,Choice,TeachingMode:OutOfCategoryConfirm,,Random,,0,0,false,,100,false,,,false,0,,,,そうだよ,,,別の話,,,,,,,,Cat
TEACH_OUT_OF_CATEGORY_CONFIRM_FAVORITE_POINT,,,,,{word}って、{{CAT_PRONOUN}}の好きなところ？,,,,,TEACH_OUT_OF_CATEGORY_CONFIRM_FAVORITE_POINT,1,Choice,TeachingMode:OutOfCategoryConfirm,,Random,,0,0,false,,100,false,,,false,0,,,,そうだよ,,,別の話,,,,,,,,Cat
TEACH_OUT_OF_CATEGORY_TELL_REQUEST,,,,,そうなんだ！{word}について教えてくれる？,,,,,TEACH_OUT_OF_CATEGORY_TELL_REQUEST,1,Action,TeachingMode:OutOfCategoryTeach,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,Cat
TEACH_CONFIRM_NO_RETURN,,,,,そうなの？他になにかやりたいことがあるのかな？,,,,,TEACH_CONFIRM_NO_RETURN,1,Reaction,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_SWITCH_NO_CAT_EXPRESSION,,,,,そっか。じゃあ改めて猫に関する言葉を教えて！,,,,,TEACH_SWITCH_NO_CAT_EXPRESSION,1,Action,TeachingMode:Start:CatExpression,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_SWITCH_NO_FELIDAE,,,,,そっか。じゃあ改めて猫の仲間を教えて！,,,,,TEACH_SWITCH_NO_FELIDAE,1,Action,TeachingMode:Start:Felidae,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_SWITCH_NO_CAT_BREED,,,,,そっか。じゃあ改めて猫の品種を教えて！,,,,,TEACH_SWITCH_NO_CAT_BREED,1,Action,TeachingMode:Start:CatBreed,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_SWITCH_NO_CAT_SERIES,,,,,そっか。じゃあ改めて猫の物語を教えて！,,,,,TEACH_SWITCH_NO_CAT_SERIES,1,Action,TeachingMode:Start:CatSeries,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_SWITCH_NO_FAVORITE_WEATHER,,,,,そっか。じゃあ改めて好きな天気を教えて！,,,,,TEACH_SWITCH_NO_FAVORITE_WEATHER,1,Action,TeachingMode:Start:FavoriteWeather,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_SWITCH_NO_FAVORITE_POINT,,,,,そっか。じゃあ改めて{{CAT_PRONOUN}}の好きなところを教えて！,,,,,TEACH_SWITCH_NO_FAVORITE_POINT,1,Action,TeachingMode:Start:FavoritePoint,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_CONTINUE_COMMON,,,,,まだまだ知ってる？よければもっと教えてよ！,,,,,TEACH_CONTINUE_COMMON,1,Choice,TeachingMode:Continue,,Random,,0,0,false,,100,false,,,false,0,,,,もっと教える,,,また今度,,,,,,,,Cat
TEACH_CONTINUE_FAVORITE_POINT,,,,,もっと{{CAT_PRONOUN}}の好きな所を教えてくれる？,,,,,TEACH_CONTINUE_FAVORITE_POINT,1,Choice,TeachingMode:Continue,,Random,,0,0,false,,100,false,,,false,0,,,,もっと話す,,,また今度,,,,,,,,Cat
TEACH_REVISIT_1,,,,,{ITEM_NAME}だ！この前教えてくれたよね！覚えてる！,,,,,TEACH_REVISIT_1,1,Reaction,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_REVISIT_2,,,,,{ITEM_NAME}はこの前聞いたから……よければ新しいのが聞きたいかな！,,,,,TEACH_REVISIT_2,1,Reaction,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
TEACH_REVISIT_3,,,,,また{ITEM_NAME}を教えてくれるの？すごく好きなんだね！,,,,,TEACH_REVISIT_3,1,Reaction,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,Cat,,
No_talk,,,,,何も話さないの？じゃあ{{CAT_PRONOUN}}が話しちゃおうかな！,,,,,No_talk1,1,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,猫が出てくる物語を教えて！音楽とか、有名な猫のことでもいいよ！,,,,,No_talk1,2,Action,TeachingMode:Start:CatSeries,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,何も話さないの？じゃあ{{CAT_PRONOUN}}が話しちゃおうかな！,,,,,No_talk2,1,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,猫って、なにやら品種っていうのがあるんでしょ？,,,,,No_talk2,2,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,{{CAT_PRONOUN}}は雑種だけど、猫の品種ってどんなのがあるの？,,,,,No_talk2,3,Action,TeachingMode:Start:CatBreed,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
