Surface,Reading,Enabled,NeedsReview,Category,SourceFiles,Note
対馬山猫,つしまやまねこ,true,false,FELIDAE,DialoguePreview_Integrated.csv,Existing regex uses hiragana reading.
ツシマヤマネコ,つしまやまねこ,true,false,FELIDAE,DialoguePreview_Integrated.csv,Katakana variant for dedicated term.
山猫,やまねこ,true,false,FELIDAE,DialoguePreview_Integrated.csv,Common felidae word.
猫又,ねこまた,true,false,PROJECT_TERM,TalkTopicMaster.csv,Project-specific cat term.
猫股,ねこまた,true,false,PROJECT_TERM,TalkTopicMaster.csv,Variant spelling.
猫,ねこ,true,false,CAT_WORD,DialoguePreview_Integrated.csv,Common conversation target.
三毛猫,みけねこ,true,false,CAT_BREED,TalkTopicMaster.csv,Common cat breed.
三毛,みけ,true,false,CAT_BREED,TalkTopicMaster.csv,Short breed expression.
黒猫,くろねこ,true,false,CAT_BREED,TalkTopicMaster.csv,Common cat expression.
白猫,しろねこ,true,false,CAT_BREED,TalkTopicMaster.csv,Common cat expression.
虎猫,とらねこ,true,false,CAT_BREED,TalkTopicMaster.csv,Common cat expression.
肉球,にくきゅう,true,false,CAT_WORD,DialoguePreview_Integrated.csv,Existing regex/category target.
甘噛み,あまがみ,true,false,CAT_WORD,TalkTopicMaster.csv,Existing talk target.
毛繕い,けづくろい,true,false,CAT_WORD,TalkTopicMaster.csv,Existing talk target.
猫パンチ,ねこぱんち,true,false,CAT_WORD,TalkTopicMaster.csv,Existing talk target.
今日,きょう,true,false,COMMON,DialoguePreview_Integrated.csv,Common input spelling.
貴方,あなた,true,false,RENAME_SYSTEM,RenameSystem,Cat rename command target spelling.
君,きみ,true,false,RENAME_SYSTEM,RenameSystem,Cat rename command target spelling.
お前,おまえ,true,false,RENAME_SYSTEM,RenameSystem,Cat rename command target spelling.
私,わたし,true,false,RENAME_SYSTEM,RenameSystem,Player calling rename command spelling.
呼んで,よんで,true,false,RENAME_SYSTEM,RenameSystem,Player calling rename command spelling.
名乗って,なのって,true,false,RENAME_SYSTEM,RenameSystem,Cat pronoun rename command spelling.
改名,かいめい,true,false,RENAME_SYSTEM,RenameSystem,Cat rename shorthand command spelling.
雨,あめ,true,false,WEATHER,DialoguePreview_Integrated.csv,Weather intent term.
天気,てんき,true,false,WEATHER,DialoguePreview_Integrated.csv,Existing weather talk target.
気象,きしょう,true,false,METEOROLOGY,TalkTopicMaster.csv,Weather-related term.
晴れ,はれ,true,false,WEATHER,TalkTopicMaster.csv,Weather-related term.
曇り,くもり,true,false,WEATHER,TalkTopicMaster.csv,Weather-related term.
雪,ゆき,true,false,WEATHER,TalkTopicMaster.csv,Weather-related term.
雷,かみなり,true,false,WEATHER,TalkTopicMaster.csv,Weather-related term.
台風,たいふう,true,false,WEATHER,TalkTopicMaster.csv,Weather-related term.
お腹,おなか,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
御腹,おなか,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
腹,はら,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
空いた,すいた,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
空い,すい,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
減った,へった,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
減っ,へっ,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
空腹,くうふく,true,false,COMMON,DialoguePreview_Integrated.csv,Food hungry input variant.
御飯,ごはん,true,false,COMMON,DialoguePreview_Integrated.csv,Meal input variant.
ご飯,ごはん,true,false,COMMON,DialoguePreview_Integrated.csv,Meal input variant.
食事,しょくじ,true,false,COMMON,DialoguePreview_Integrated.csv,Meal input variant.
食べ,たべ,true,false,COMMON,DialoguePreview_Integrated.csv,Food request verb stem.
眠い,ねむい,true,false,COMMON,TalkTopicMaster.csv,Sleep intent variant.
寝る,ねる,true,false,COMMON,TalkTopicMaster.csv,Sleep talk target.
寝たい,ねたい,true,false,COMMON,TalkTopicMaster.csv,Sleep talk target.
睡眠,すいみん,true,false,COMMON,TalkTopicMaster.csv,Sleep topic.
好き,すき,true,false,COMMON,TalkTopicMaster.csv,Affection intent variant.
可愛い,かわいい,true,false,COMMON,TalkTopicMaster.csv,Praise intent variant.
賢い,かしこい,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
嫌い,きらい,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
寂しい,さみしい,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
楽しい,たのしい,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
仕事,しごと,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
お金,おかね,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
外,そと,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
安全,あんぜん,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
監禁,かんきん,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
撫で,なで,true,false,CAT_WORD,TalkTopicMaster.csv,Petting intent variant.
爪切り,つめきり,true,false,CAT_WORD,DialoguePreview_Integrated.csv,Existing talk target.
二足,にそく,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
体調,たいちょう,true,false,COMMON,TalkTopicMaster.csv,Existing talk target.
身体,からだ,true,false,COMMON,TalkTopicMaster.csv,Common body spelling in source text.
体,からだ,true,false,COMMON,TalkTopicMaster.csv,Common body spelling.
トイレ,といれ,true,false,COMMON,TalkTopicMaster.csv,Katakana intent target.
ペット,ぺっと,true,false,CAT_WORD,TalkTopicMaster.csv,Katakana talk target.
スマホ,すまほ,true,false,COMMON,TalkTopicMaster.csv,Katakana talk target.
ゲーム,げーむ,true,false,COMMON,TalkTopicMaster.csv,Katakana talk target.
人気,にんき,true,false,COMMON,TalkSource/TalkCSV,Promoted from candidates for playtest.
一日,いちにち,true,false,COMMON,TalkSource/TalkCSV,Promoted from candidates for playtest.
生物,せいぶつ,true,false,COMMON,TalkSource/TalkCSV,Promoted from candidates for playtest.
上手,じょうず,true,false,COMMON,TalkSource/TalkCSV,Promoted from candidates for playtest.
行った,いった,true,false,COMMON,TalkSource/TalkCSV,Promoted from candidates for playtest.
明日,あした,true,false,COMMON,TalkSource/TalkCSV,Promoted from candidates for playtest.
大人,おとな,true,false,COMMON,TalkSource/TalkCSV,Promoted from candidates for playtest.
爪,つめ,true,false,CAT_WORD,DialoguePreview_Integrated.csv,Promoted from candidates for playtest; short word.
犬,いぬ,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest.
職場,しょくば,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest.
悪口,わるぐち,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest.
罵倒,ばとう,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest.
家,いえ,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest; short word.
暮らし,くらし,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest.
昼寝,ひるね,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest.
酒,さけ,true,false,COMMON,TalkTopicMaster.csv,Promoted from candidates for playtest.
毛,け,true,false,CAT_WORD,TalkTopicMaster.csv,Promoted from candidates for playtest; short word.
発情,はつじょう,true,false,CAT_WORD,TalkTopicMaster.csv,Promoted from candidates for playtest.
出た,でた,true,false,COMMON,unknown,unknown
出し,だし,true,false,COMMON,unknown,unknown
出る,でる,true,false,COMMON,unknown,unknown
出て,でて,true,false,COMMON,unknown,unknown
脱出,だっしゅつ,true,false,COMMON,unknown,unknown
有る,ある,true,false,COMMON,unknown,unknown
辞め,やめ,true,false,COMMON,unknown,unknown
阿呆,あほ,true,false,COMMON,unknown,unknown
馬鹿,ばか,true,false,COMMON,unknown,unknown
間抜け,まぬけ,true,false,COMMON,unknown,unknown
罵,ののし,true,false,COMMON,unknown,unknown
酷,ひど,true,false,COMMON,unknown,unknown
餌,えさ,true,false,COMMON,unknown,unknown
欲しい,ほしい,true,false,COMMON,unknown,Food request suffix variant.
美味し,おいし,true,false,COMMON,unknown,unknown
美味い,うまい,true,false,COMMON,unknown,unknown
旨い,うまい,true,false,COMMON,unknown,unknown
満足,まんぞく,true,false,COMMON,unknown,unknown
住み心地,すみごこち,true,false,COMMON,unknown,unknown
住心地,すみごこち,true,false,COMMON,unknown,unknown
住処,すみか,true,false,COMMON,unknown,unknown
足の裏,あしのうら,true,false,CAT_WORD,unknown,unknown
裏,うら,true,false,COMMON,unknown,unknown
見たい,みたい,true,false,COMMON,unknown,unknown
見せて,みせて,true,false,COMMON,unknown,unknown
揉,も,true,false,CAT_WORD,unknown,unknown
不細工,ぶさいく,true,false,COMMON,unknown,unknown
可愛,かわい,true,false,COMMON,unknown,unknown
可愛そう,かわいそう,true,false,COMMON,unknown,unknown
