"id","input","regex_jp","regex_zh","regex_en","output_ja","output_zh","output_en","alt","regex_id","pattern","order","response_type","action_id","condition","SpeechControl","emotion_change_type","emotion_change_value","WaitTime","HideUI","Animation","Priority","call_only","choice_yes_pattern","choice_no_pattern","sequence_progress_hold","RepeatCount","question_ja","question_en","question_cn","choice_yes_ja","choice_yes_en","choice_yes_cn","choice_no_ja","choice_no_en","choice_no_cn","yes_next_pattern","no_next_pattern","random_repeat_limit","timed_event_key","target_pattern","context","psychology_state","group","notes"
"PRD_DAILY_FEELING_NORMAL_001","FEELING","","","","今の気持ち？いつも通りって感じかな！{{PLAYER_CALLING}}はどう？","","","","PRD_DAILY_FEELING_NORMAL_001","1","1","Reaction","","PsychologyState == ""NORMAL""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","NORMAL","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_001","FEELING","","","","今の気持ち？……ちょっとイライラでモヤモヤかな……。","","","","PRD_DAILY_FEELING_HOSTILITY_001","1","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_001","FEELING","","","","{{CAT_PRONOUN}}、{{PLAYER_CALLING}}とケンカなんてしたくないのに。","","","","PRD_DAILY_FEELING_HOSTILITY_001","2","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_SADISTIC_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}をいじめてあげたいな！","","","","PRD_DAILY_FEELING_SADISTIC_001","1","1","Reaction","","PsychologyState == ""SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_SADISTIC_001","FEELING","","","","{{PLAYER_CALLING}}も喜ぶし、{{CAT_PRONOUN}}もなんかちょっとだけ楽しいんだ！","","","","PRD_DAILY_FEELING_SADISTIC_001","2","1","Reaction","","PsychologyState == ""SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}のことがとにかく心配でたまらない！","","","","PRD_DAILY_FEELING_CONCERN_001","1","1","Reaction","","PsychologyState == ""CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_001","FEELING","","","","勝手にどこか行ったりしないでね……？","","","","PRD_DAILY_FEELING_CONCERN_001","2","1","Reaction","","PsychologyState == ""CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}のことが愛おしくてたまらない気持ちかな。","","","","PRD_DAILY_FEELING_AFFECTION_001","1","1","Reaction","","PsychologyState == ""AFFECTION""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_001","FEELING","","","","ずっと触れ合っていたいな！","","","","PRD_DAILY_FEELING_AFFECTION_001","2","1","Reaction","","PsychologyState == ""AFFECTION""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_INSTINCT_001","FEELING","","","","今の気持ち？……すごく、野性的な気持ちって感じ！","","","","PRD_DAILY_FEELING_INSTINCT_001","1","1","Reaction","","PsychologyState == ""INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","INSTINCT","DAILY","原稿から整理; 文章改変なし"
