id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern,EntryID,SeriesGroupID,TeachingCategory,DisplayName
00010,アビシニアン,(あびしにあん),,,アビシニアンってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,アビシニアン,(あびしにあん),,,エチオピアってところの、スリムな猫なんだね。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,アビシニアン,(あびしにあん),,,結構昔からいる種類の猫だけど人懐っこいんだ。昔から人間と仲が良かったのかな？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,アメリカンボブテイル,(あめりかんぼぶている),,,アメリカンボブテイルってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,アメリカンボブテイル,(あめりかんぼぶている),,,アメリカで偶然生まれた、尻尾の短い猫をもとにした猫なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,アメリカンボブテイル,(あめりかんぼぶている),,,尻尾が短かったら猫又になれないね。そもそもアメリカの猫は妖怪になれるのかな？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,アメリカンカール,(あめりかんかーる),,,アメリカンカールってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,アメリカンカール,(あめりかんかーる),,,アメリカのカリフォルニアで生まれた猫で、耳が後ろにカールしてるのが特徴なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,アメリカンカール,(あめりかんかーる),,,耳が曲がってるって、どんな気持ちなんだろう。{{CAT_PRONOUN}}の耳が曲がってたりするとすごく気になるのに！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,アメリカンワイヤーヘア,(あめりかんわいやーへあ),,,アメリカンワイヤーヘアってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,アメリカンワイヤーヘア,(あめりかんわいやーへあ),,,アメリカで偶然生まれた、毛が硬くて縮れてる猫なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,アメリカンワイヤーヘア,(あめりかんわいやーへあ),,,そんな毛だと、毛づくろいするのがすごく大変そう。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00050,バリニーズ,(ばりにーず),,,バリニーズってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00050,バリニーズ,(ばりにーず),,,シャム猫の長毛種なんだ。元気いっぱいで、おしゃべり好き？そこは{{CAT_PRONOUN}}と同じだね。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00050,バリニーズ,(ばりにーず),,,バリのダンサーの優美さをイメージしてバリニーズって名前になったんだ。踊りも得意なのかな？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00060,ベンガル,(べんがる),,,ベンガルってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00060,ベンガル,(べんがる),,,ベンガルヤマネコっていう野生の猫の仲間をもとにした猫なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00060,ベンガル,(べんがる),,,野生の猫の毛色で、運動好き？本当にワイルドなんだね！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00070,バーマン,(ばーまん),,,バーマンってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00070,バーマン,(ばーまん),,,ミャンマーの聖なる猫？伝説の猫？聖職者のように優しくて、愛情深い……。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00070,バーマン,(ばーまん),,,えっと、猫の話だよね？なんか、すごい猫の説明をしてない？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00080,ボンベイ,(ぼんべい),,,ボンベイってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00080,ボンベイ,(ぼんべい),,,アメリカの真っ黒な猫で、口の中まで黒いんだ！「小さな黒豹」って呼ばれてる？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00080,ボンベイ,(ぼんべい),,,ずいぶんかっこいいんだね！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00090,ブリティッシュショートヘア,(ぶりてぃっしゅしょーとへあ),,,ブリティッシュショートヘアってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00090,ブリティッシュショートヘア,(ぶりてぃっしゅしょーとへあ),,,イギリスに昔からいる猫で、独立心の強い、落ち着いた性格なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00090,ブリティッシュショートヘア,(ぶりてぃっしゅしょーとへあ),,,{{CAT_PRONOUN}}は{{PLAYER_CALLING}}がいないと生きていけないから、正反対だね。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00100,バーミーズ,(ばーみーず),,,バーミーズってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00100,バーミーズ,(ばーみーず),,,ミャンマー生まれ、アメリカ育ちの猫なんだね。とってもきれい好きで、人間好き。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00100,バーミーズ,(ばーみーず),,,鳴き声も静かで、「慈悲深い猫」とも呼ばれているんだね。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00100,バーミーズ,(ばーみーず),,,えっと、慈悲ってなに？,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00110,バーミラ,(ばーみら),,,バーミラってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00110,バーミラ,(ばーみら),,,バーミーズとチンチラの子孫なんだね。銀色の毛色で、遊び好きで社交的。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00110,バーミラ,(ばーみら),,,ちょっと待って。バーミーズとチンチラだからバーミラなの？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00110,バーミラ,(ばーみら),,,そういう名付けもありなんだ。,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00120,シャルトリュー,(しゃるとりゅー),,,シャルトリューってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00120,シャルトリュー,(しゃるとりゅー),,,ブルーの御三家、フランスの宝、生きたフランスの記念碑、微笑み猫、マッチ棒を刺したジャガイモ……。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00120,シャルトリュー,(しゃるとりゅー),,,えっ、別名が多すぎない？しかも最後悪口言ってなかった？！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00130,カラーポイントショートヘア,(からーぽいんとしょーとへあ),,,カラーポイントショートヘアってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00130,カラーポイントショートヘア,(からーぽいんとしょーとへあ),,,シャム猫をもとにした、ポイントカラーが特徴の猫なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00130,カラーポイントショートヘア,(からーぽいんとしょーとへあ),,,さまざまな毛色があるのね。いろんな鳴き声も特徴なの？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00130,カラーポイントショートヘア,(からーぽいんとしょーとへあ),,,いろんな種類の声が出せるのうらやましいかも！,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00140,コーニッシュレックス,(こーにっしゅれっくす),,,コーニッシュレックスってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00140,コーニッシュレックス,(こーにっしゅれっくす),,,イギリスで、突然巻き毛の猫が見つかったのが由来なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00140,コーニッシュレックス,(こーにっしゅれっくす),,,巻き毛って、どんな気持ちなんだろう。毛づくろいしづらそう。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00150,デボンレックス,(でぼんれっくす),,,デボンレックスってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00150,デボンレックス,(でぼんれっくす),,,イギリスのデボン州から、名前がついてるんだね。ちょっと変わった見た目で、「プードルキャット」とも呼ばれているんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00150,デボンレックス,(でぼんれっくす),,,「小さな妖精みたい」とも言われる？いたずら好きで、やんちゃなんだね。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00160,エジプシャンマウ,(えじぷしゃんまう),,,エジプシャンマウってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00160,エジプシャンマウ,(えじぷしゃんまう),,,エジプト由来の猫種なんだ。天然のスポット模様が特徴……。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00160,エジプシャンマウ,(えじぷしゃんまう),,,天然以外の模様ってなに？子猫に誰かが色をつけてるの？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00170,ヨーロピアンバーミーズ,(よーろぴあんばーみーず),,,ヨーロピアンバーミーズってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00170,ヨーロピアンバーミーズ,(よーろぴあんばーみーず),,,バーミーズの中でも、アメリカ育ちとヨーロッパ育ちがいるんだね。ヨーロッパの方が、体ががっしりしていることが多いんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00170,ヨーロピアンバーミーズ,(よーろぴあんばーみーず),,,食べ物が違うのかな？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00180,エキゾチックショートヘア,(えきぞちっくしょーとへあ),,,エキゾチックショートヘアってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00180,エキゾチックショートヘア,(えきぞちっくしょーとへあ),,,ペルシャ猫の短毛版？頭と瞳が丸くて、鼻がつぶれて上向きなのが特徴なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00180,エキゾチックショートヘア,(えきぞちっくしょーとへあ),,,え？エキゾチックロングヘアもいるの？ペルシャ猫の短毛版の、長毛版？？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00190,ハバナブラウン,(はばなぶらうん),,,ハバナブラウンってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00190,ハバナブラウン,(はばなぶらうん),,,イギリスの、チョコレートみたいな色の猫なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00190,ハバナブラウン,(はばなぶらうん),,,確か、猫ってチョコレートを食べちゃいけないんだよね。でも、チョコレート色の毛なんだ。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00190,ハバナブラウン,(はばなぶらうん),,,さすがに味はしないよね？,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00200,カオマニー,(かおまにー),,,カオマニーってどんな猫？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00200,カオマニー,(かおまにー),,,真っ白な毛色の、タイで育った猫なんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00200,カオマニー,(かおまにー),,,タイに昔からいて、「白い宝石」って意味なんだね。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00200,カオマニー,(かおまにー),,,ほとんどがオッドアイなの？右目と左目で、見える色も違うのかな。,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
