id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern,EntryID,SeriesGroupID,TeachingCategory,DisplayName
00010,猫の手も借りたい,(ねこのてもかりたい),,,猫の手も借りたいってどういう意味？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,猫の手も借りたい,(ねこのてもかりたい),,,すごく忙しくて、猫にも手伝ってほしいって意味？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,猫の手も借りたい,(ねこのてもかりたい),,,{{CAT_PRONOUN}}は面倒ごとは嫌いだし、貸すにも前足しかないし、そもそも猫に手伝えることなんてなさそうだけど。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,猫の手も借りたい,(ねこのてもかりたい),,,それでも、何でもいいから借りたいって意味なんだ。大変そうだね。,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,猫かぶり,(ねこ(っ)?かぶり),,,猫かぶりってどういう意味？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,猫かぶり,(ねこ(っ)?かぶり),,,本性を隠して、おとなしく見せかけるって意味？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,猫かぶり,(ねこ(っ)?かぶり),,,確かに猫は強いから、猫みたいになるってことでそう言うんだよね？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,猫かぶり,(ねこ(っ)?かぶり),,,えっ、おとなしい猫のふりをするって意味？そんなぁ！,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,猫に鰹節,(ねこにかつおぶし),,,猫に鰹節ってどういう意味？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,猫に鰹節,(ねこにかつおぶし),,,油断できないものを、その対象の近くに置くこと？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,猫に鰹節,(ねこにかつおぶし),,,{{CAT_PRONOUN}}の近くに鰹節があっても、全然危険じゃないと思うけどな。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,猫に鰹節,(ねこにかつおぶし),,,もしかして、鰹節から見て危険ってこと？,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00031,猫に魚,(ねこにさかな),,,猫に魚ってどういう意味？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00031,猫に魚,(ねこにさかな),,,油断できないものを、その対象の近くに置くこと？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00031,猫に魚,(ねこにさかな),,,{{CAT_PRONOUN}}の近くに魚があっても、全然危険じゃないと思うけどな。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00031,猫に魚,(ねこにさかな),,,もしかして、魚から見て危険ってこと？,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00032,猫に金魚,(ねこにきんぎょ),,,猫に金魚ってどういう意味？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00032,猫に金魚,(ねこにきんぎょ),,,油断できないものを、その対象の近くに置くこと？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00032,猫に金魚,(ねこにきんぎょ),,,{{CAT_PRONOUN}}の近くに金魚があっても、全然危険じゃないと思うけどな。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00032,猫に金魚,(ねこにきんぎょ),,,もしかして、金魚から見て危険ってこと？,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,猫にまたたび,(ねこにまたたび),,,猫にまたたびってどういう意味？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,猫にまたたび,(ねこにまたたび),,,大好物とか、すっごく魅力的なもののたとえ？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,猫にまたたび,(ねこにまたたび),,,まあ、またたびは好きだけど、大好きってほどではないかな。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
