id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern,EntryID,SeriesGroupID,TeachingCategory,DisplayName
00010,晴れ,(はれ|かいせい|せいてん),,,晴れの日はポカポカして気持ちいいよね！,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,晴れ,(はれ|かいせい|せいてん),,,たまに暑すぎて困っちゃうけど、そういう時は涼しい所に行くんだ！,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,雹,(ひょう),,,雹ってどんな天気？,,,,,1,0,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,雹,(ひょう),,,えっ、大きい氷の塊が、ずっと降ってくるの？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,雹,(ひょう),,,そんなの、怪我しちゃって危ないよ！,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,雹,(ひょう),,,誰がそんな危ないものを落としてるの？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,みぞれ,(みぞれ),,,みぞれってどんな天気？,,,,,1,0,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,みぞれ,(みぞれ),,,雨と雪が一緒に降ること？そうなんだ。,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,みぞれ,(みぞれ),,,雪が降ったら窓の外は白くなるけど、みぞれのときには、どんな景色になるの？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,みぞれ,(みぞれ),,,混ざった灰色？へえ、それはちょっと見てみたいな。,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,雨模様,(あ(ま|め)もよう),,,雨模様ってことは、雨が降ってるってこと？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
