id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern,EntryID,SeriesGroupID,TeachingCategory,DisplayName
00010,トラ,(とら|たいがー),,,虎ってどんな動物？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,トラ,(とら|たいがー),,,ネコの仲間の中で一番大きな種類で、縞模様が特徴なんだ！,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00010,トラ,(とら|たいがー),,,縞模様は{{CAT_PRONOUN}}にもあるけど、大きさは全然敵わなさそうだね！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,ライオン,(らいおん),,,ライオンってどんな動物？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,ライオン,(らいおん),,,ネコ科だけど、群れを作って暮らしてるんだ！,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,ライオン,(らいおん),,,ずーっと一緒に暮らすのって、{{CAT_PRONOUN}}と{{PLAYER_CALLING}}が一緒に暮らしてるようなもの？,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00020,ライオン,(らいおん),,,……メスのライオンが偉くて、オスのライオンはご飯が後回しだったり、ルールがとても厳しいんだ！,,,,,1,4,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,ヒョウ,(ひょう),,,ヒョウってどんな動物？,,,,,1,0,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,ヒョウ,(ひょう),,,とても広い範囲で暮らしてるネコの仲間なんだね！,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,ヒョウ,(ひょう),,,顎の力が強くて、捕まえた獲物を木の上まで運んじゃうんだ！,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00030,ヒョウ,(ひょう),,,そこのぬいぐるみを持っていくだけなら{{CAT_PRONOUN}}でもできるけど、重いものを運ぶのってすごく大変だよね！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,ジャガー,(じゃがー),,,ジャガーってどんな動物？,,,,,1,0,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,ジャガー,(じゃがー),,,南米の辺りにいる、とてもパワフルなネコの仲間なんだ。どのくらいパワフルなの？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,ジャガー,(じゃがー),,,……狩りの時は喉に噛みつくんじゃなくて、頭を骨ごと噛み砕いちゃうの！？,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00040,ジャガー,(じゃがー),,,名前の由来も、「一突きで殺すもの」っていう意味なんだ……。すごいパワーだね！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00050,ユキヒョウ,(ゆきひょう),,,ユキヒョウってどんな動物？,,,,,1,0,normal,,,Random,,0,0,false,,10,false,,,,,,
00050,ユキヒョウ,(ゆきひょう),,,山の幽霊とか、聖なる峰々の守護者とも呼ばれる、高山に住むネコの仲間なんだ。なんで幽霊なの？,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
00050,ユキヒョウ,(ゆきひょう),,,滅多に姿を現さない上に保護色でとても見つかりにくいからなんだ。,,,,,1,2,normal,,,Random,,0,0,false,,10,false,,,,,,
00050,ユキヒョウ,(ゆきひょう),,,じゃあ、幽霊といっても怖い意味じゃないんだね！,,,,,1,3,normal,,,Random,,0,0,false,,10,false,,,,,,
00060,ウンピョウ,(うんぴょう),,,ウンピョウってどんな動物？,,,,,1,0,normal,,,Random,,0,0,false,,10,false,,,,,,
00060,ウンピョウ,(うんぴょう),,,木登りが得意で、身体に雲みたいな模様があるネコの仲間なんだ！,,,,,1,1,normal,,,Random,,0,0,false,,10,false,,,,,,
