id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern
2201,猫ふんじゃった,ねこふんじゃった,,,そういう曲があるんだね。猫としてはだいぶ嫌な曲だね……。そんなに明るく嫌なことを歌わないで欲しい。,,,,series_nekofunjatta,1,0,Normal,,,Random,,0,0,false,,10,false,,
2201,猫ふんじゃった,ねこふんじゃった,,,あ、今の{{PLAYER_CALLING}}は好きなだけ踏んでいいよ。,,,,series_nekofunjatta,1,1,Normal,,,Random,,0,0,false,,10,false,,
2201,猫ふんじゃった,ねこふんじゃった,,,なんてったって、そんな身長じゃ踏まれても全く痛くないからね！,,,,series_nekofunjatta,1,2,Normal,,,Random,,0,0,false,,10,false,,
2202,現場猫,げんばねこ,,,げんば……？なあに、それ？,,,,series_genbaneko,1,0,Normal,,,Random,,0,0,false,,10,false,,
2202,現場猫,げんばねこ,,,そういうキャラクターがいるんだ。,,,,series_genbaneko,1,1,Normal,,,Random,,0,0,false,,10,false,,
2202,現場猫,げんばねこ,,,え？ヨシ！って言えばいいの？,,,,series_genbaneko,1,2,Normal,,,Random,,0,0,false,,10,false,,
2202,現場猫,げんばねこ,,,ヨシ！　……これ、何を確認したの？,,,,series_genbaneko,1,3,Normal,,,Random,,0,0,false,,10,false,,
2203,タマモキャット,たまもきゃっと,,,ん――？（脳が理解を拒んでいる）,,,,series_tamamocat,1,0,Normal,,,Random,,0,0,false,,10,false,,
2204,メン・イン・キャット,めんいんきゃっと,,,メン・イン・キャットって何？,,,,series_meninkyatto,1,0,Normal,,,Random,,0,0,false,,10,false,,
2204,メン・イン・キャット,めんいんきゃっと,,,へぇ、メン・イン・キャットっていう作品があるんだ。,,,,series_meninkyatto,1,1,Normal,,,Random,,0,0,false,,10,false,,
2204,メン・イン・キャット,めんいんきゃっと,,,人間が猫になる話？そうなんだ……。,,,,series_meninkyatto,1,2,Normal,,,Random,,0,0,false,,10,false,,
2204,メン・イン・キャット,めんいんきゃっと,,,内容は知らないけど、猫にあこがれるのも無理はないね！,,,,series_meninkyatto,1,3,Normal,,,Random,,0,0,false,,10,false,,
2205,吾輩は猫である,わがはいはねこである,我是猫,I Am a Cat,急にどうしたの？{{PLAYER_CALLING}}は猫じゃないでしょ？,,,,series_wagahaihanekodearu,1,0,Normal,,,Random,,0,0,false,,10,false,,
